K,seed,episode,target_only,random_aug,similarity_only,evidential_oracle
10,0,0,0.5551962658868519,0.5599060848048588,0.5514424699133955,0.5513089078843774
10,0,1,0.4551793948937127,0.476085367225284,0.42150770442020025,0.41786638173433804
10,0,2,0.5682853447306265,0.551203464177258,0.5552243842087503,0.5263890451017883
10,0,3,0.5231413789225059,0.5193172871443033,0.5215667528961871,0.5259672702733101
10,0,4,0.5943229108086829,0.5878416376110673,0.5927764031042627,0.5799263299966259
10,1,0,0.46779046226521204,0.47757563828590704,0.47664773366325497,0.48184962321448654
10,1,1,0.5673574401079744,0.5624226746147789,0.5490242942301202,0.5608058711056124
10,1,2,0.6291193341581375,0.6176611179844788,0.6085648408502982,0.6216679788550219
10,1,3,0.48087954110898656,0.4984534922955798,0.5044426948599707,0.4988471488021595
10,1,4,0.4529861657856259,0.4598189180069734,0.4382521651107862,0.46708750421774825
10,2,0,0.5626897986728152,0.5990749072095377,0.6001504330221572,0.5821195591047126
10,2,1,0.596375548307277,0.5938308401754584,0.5922983916319874,0.6290068608705434
10,2,2,0.5729811044876842,0.5573191991901923,0.5821757957485098,0.5646721403666629
10,2,3,0.5875885727139805,0.5646580812057137,0.5463389944888088,0.5714205376223147
10,2,4,0.5456219772803959,0.5707316387358004,0.510600607355753,0.517517714542796
10,3,0,0.5714908334270611,0.5833989427510966,0.5851703970307052,0.5996653919694073
10,3,1,0.5306489708694184,0.5342481160724328,0.5341497019457879,0.5304802609380272
10,3,2,0.6070183331458778,0.6224693510291306,0.605331233831965,0.6357271398042964
10,3,3,0.5503317961984028,0.5578815656281633,0.5152541896299628,0.5495023057023957
10,3,4,0.5484478686312001,0.5296788887639186,0.5476183781351929,0.5681869306039815
10,4,0,0.6369643459678327,0.6341243954560793,0.6329012484534923,0.6270526374985941
10,4,1,0.540251377797773,0.5490805308739174,0.5360758069958385,0.5369474749746935
10,4,2,0.5777190417275897,0.5774659768305027,0.5682009897649308,0.5693960184456192
