seed,target_only,random_aug,similarity_only,evidential_oracle
0,0.548530638217926,0.5355945229530334,0.5863529443740845,0.5096656680107117
1,0.5554537773132324,0.5568252801895142,0.5176172852516174,0.5467103123664856
2,0.6180538535118103,0.5850874185562134,0.6566110849380493,0.6071937084197998
3,0.4999369978904724,0.5202879309654236,0.5294780731201172,0.6145768165588379
4,0.6012542247772217,0.5192758440971375,0.5436736941337585,0.5219234228134155
